Nombre,URL,Descripción,Categoría,Marca,Precio,Moneda,Disponibilidad,Fecha Precio Válido
SDKFZ.171 PANTHER A EARLY PROD. PREMIUM EDIT,https://modelplasticworld.com/es/modelos-a-escala/11015-sdkfz171-panther-a-early-prod-premium-edit.html,,Modelos a escala,Model Plastic World,48.9,EUR,https://schema.org/InStock,2025-03-12
1:35 GESCHUTZWAGEN 38 H S.IG.33/1,https://modelplasticworld.com/es/modelos-a-escala/10743-135-geschutzwagen-38-h-sig331--4545782076479.html,Sd.Kfz.138/1 Geschutzwagen 38 H s.IG.33/1 Dragon Referencia. DRAMD005 PVP:48.70€,Modelos a escala,Model Plastic World,36.64,EUR,https://schema.org/OutOfStock,2025-03-12
1:35 Pz.Kpfw.I Ausf.B,https://modelplasticworld.com/es/modelos-a-escala/10741-135-pzkpfwi-ausfb-4545782076066.html,1:35 Pz.Kpfw.I Ausf.B Dragon Referencia:DRAMD001 PVP:44.10€,Modelos a escala,Model Plastic World,33.18,EUR,https://schema.org/InStock,2025-03-12
1:35 Sd.Kfz.234/2 Puma,https://modelplasticworld.com/es/modelos-a-escala/10739-135-sdkfz2342-puma--0089195869432.html,1:35 Sd.Kfz.234/2 Puma Dragon Referencia:DRA6943 PVP:52.08€,Modelos a escala,Model Plastic World,39.18,EUR,https://schema.org/OutOfStock,2025-03-12
1:35 Horse Drawn 2.8cm sPzB41 AT Gun,https://modelplasticworld.com/es/modelos-a-escala/10736-135-horse-drawn-28cm-spzb41-at-gun-4005299008207.html,1:35 Horse Drawn 2.8cm sPzB41 AT Gun Dragon Referencia:DRA6079 PVP:19.80€,Modelos a escala,Model Plastic World,14.9,EUR,https://schema.org/OutOfStock,2025-03-12
1:35 Sd.Kfz.251/1 Ausf.D,https://modelplasticworld.com/es/modelos-a-escala/10729-135-sdkfz2511-ausfd-089195869807.html,1:35 Sd.Kfz.251/1 Ausf.D Dragon Referencia:DRA6980 PVP:54.25€,Modelos a escala,Model Plastic World,40.82,EUR,https://schema.org/OutOfStock,2025-03-12
1:35 Sd.Kfz. 7 Late Production mit 8.8cm FlaK 36/37,https://modelplasticworld.com/es/modelos-a-escala/10728--135-sdkfz-7-late-production-mit-88cm-flak-3637-089195869715.html,1:35 Sd.Kfz. 7 Late Production mit 8.8cm FlaK 36/37 Dragon Referencia:DRA6971 PVP:84.20€,Modelos a escala,Model Plastic World,63.35,EUR,https://schema.org/OutOfStock,2025-03-12
1:35 5cm Pak 38 w/crew,https://modelplasticworld.com/es/modelos-a-escala/10727-135-5cm-pak-38-wcrew--089195864444.html,1:35 5cm Pak 38 w/crew Dragon Referencia:DRA6444 PVP:23.20€,Modelos a escala,Model Plastic World,17.46,EUR,https://schema.org/OutOfStock,2025-03-12
1:35 M4A4 Sherman w/60lb Rocket,https://modelplasticworld.com/es/modelos-a-escala/10726-135-m4a4-sherman-w60lb-rocket-089195864055.html,1:35 M4A4 Sherman w/60lb Rocket Dragon Referencia: DRA6405 PVP:47.55€,Modelos a escala,Model Plastic World,35.78,EUR,https://schema.org/InStock,2025-03-12
Panzerkampfwagen II Ausf.F Afrikakorps,https://modelplasticworld.com/es/modelos-a-escala/10367-panzerkampfwagen-ii-ausff-afrikakorps-4545782076448.html,Referencia: DRAMD002 Panzerkampfwagen II Ausf.F Afrikakorps Escala: 1:35 PVP: 43.50€,Modelos a escala,Model Plastic World,32.73,EUR,https://schema.org/InStock,2025-03-12
